source,target,importance
AP1AR-DT,AP1AR-DT,0.999999999999596
AP1G2-AS1,AP1G2-AS1,0.99999999999992
AP1S3,AP1S3,1.0
AP3M2,AP3M2,1.0
AP4S1,AP4S1,0.9999999999998982
AP5Z1,AP5Z1,1.0
APAF1,APAF1,0.9999999999997595
APBA1,APBA1,0.9999999999998228
APBA2,APBA2,1.0
APBB1IP,APBB1IP,1.0
IFIT3,APBB2,0.4682368706058577
NEBL,APBB2,0.4682388236743772
MGP,APBB2,0.468321105872323
TPST2,APBB2,0.46885190154382606
SLC44A1,APBB2,0.47126508520457056
KCNMA1,APBB2,0.47261246550097175
